"Name"	"File Extension"	"File Type"	"Is Deleted"	"Last Accessed"	"File Created"	"Last Modified"	"Size"	"Address"	"Hash Value"	"Known Status"	"Permissions"	"Full Path"
"~$job.doc-slack"	".doc-slack"	"r"	""	"2015-10-10 00:00:00 IST"	"2015-10-10 23:07:46 IST"	"2014-02-27 14:58:30 IST"	"3934"	"5004166"	"null"	"unknown"	"rr-xr-xr-x"	"/img_drive9.E01/Users/Admin/Documents/New Jobs/~$job.doc-slack"
"Previous items.doc"	".doc"	"r"	""	"2015-10-10 00:00:00 IST"	"2015-10-10 23:07:46 IST"	"2014-02-27 13:59:36 IST"	"24064"	"5005191"	"44bed5b7feefa8e276b2c3dc3b5fb851"	"unknown"	"rrwxrwxrwx"	"/img_drive9.E01/Users/Admin/Documents/Old Reports/Previous items.doc"
"Previous items.doc-slack"	".doc-slack"	"r"	""	"2015-10-10 00:00:00 IST"	"2015-10-10 23:07:46 IST"	"2014-02-27 13:59:36 IST"	"512"	"5005191"	"null"	"unknown"	"rrwxrwxrwx"	"/img_drive9.E01/Users/Admin/Documents/Old Reports/Previous items.doc-slack"
"~$evious items.doc"	".doc"	"r"	""	"2015-10-10 00:00:00 IST"	"2015-10-10 23:07:46 IST"	"2015-10-08 22:22:02 IST"	"0"	"5005194"	"d41d8cd98f00b204e9800998ecf8427e"	"unknown"	"rrwxrwxrwx"	"/img_drive9.E01/Users/Admin/Documents/Old Reports/~$evious items.doc"
"capabilities.ppt"	".ppt"	"r"	""	"2015-10-10 00:00:00 IST"	"2015-10-10 23:07:47 IST"	"2014-02-27 13:57:40 IST"	"11264"	"5006087"	"16f57f20d787e0649f63723457cd82f3"	"unknown"	"rrwxrwxrwx"	"/img_drive9.E01/Users/Admin/Documents/Project 2/capabilities.ppt"
"capabilities.ppt-slack"	".ppt-slack"	"r"	""	"2015-10-10 00:00:00 IST"	"2015-10-10 23:07:47 IST"	"2014-02-27 13:57:40 IST"	"1024"	"5006087"	"null"	"unknown"	"rrwxrwxrwx"	"/img_drive9.E01/Users/Admin/Documents/Project 2/capabilities.ppt-slack"
"Projected Revenue.xls"	".xls"	"r"	""	"2015-10-10 00:00:00 IST"	"2015-10-10 23:07:47 IST"	"2014-02-27 03:53:10 IST"	"13824"	"5006090"	"12f7c6643331ac85a352ae2f9c0bb8d9"	"unknown"	"rrwxrwxrwx"	"/img_drive9.E01/Users/Admin/Documents/Project 2/Projected Revenue.xls"
"Projected Revenue.xls-slack"	".xls-slack"	"r"	""	"2015-10-10 00:00:00 IST"	"2015-10-10 23:07:47 IST"	"2014-02-27 03:53:10 IST"	"2560"	"5006090"	"null"	"unknown"	"rrwxrwxrwx"	"/img_drive9.E01/Users/Admin/Documents/Project 2/Projected Revenue.xls-slack"
"PsExec.exe"	".exe"	"r"	""	"2015-10-10 00:00:00 IST"	"2015-10-10 23:07:47 IST"	"2013-10-22 08:59:34 IST"	"387776"	"5006092"	"d0df366711c8b296680002840336b6fd"	"unknown"	"rrwxrwxrwx"	"/img_drive9.E01/Users/Admin/Documents/Project 2/PsExec.exe"
"PsExec.exe-slack"	".exe-slack"	"r"	""	"2015-10-10 00:00:00 IST"	"2015-10-10 23:07:47 IST"	"2013-10-22 08:59:34 IST"	"1344"	"5006092"	"null"	"unknown"	"rrwxrwxrwx"	"/img_drive9.E01/Users/Admin/Documents/Project 2/PsExec.exe-slack"
